,流水號,授課對象,課號,班次,課程名稱查看課程大綱，請點選課程名稱,簡介影片,學分,課程識別碼,全/半年,必/選修,授課教師,加選方式,時間教室,總人數,選課限制條件,備註,課程網頁,本學期我預計要選的課程
7961,67349,昆蟲系,ENT4999,9,學士論文下,,1,612 49502,全年,選修,,,,3,"限學士班三年級以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：3人",,,
7962,20661,昆蟲系,ENT4999,10,學士論文下,,1,612 49502,全年,選修,吳岳隆,2,,3,"限學士班三年級以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：3人",,,
7963,16900,昆蟲系,ENT4999,11,學士論文下,,1,612 49502,全年,選修,,,,3,"限學士班三年級以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：3人",,,
7964,48981,昆蟲系,ENT4999,12,學士論文下,,1,612 49502,全年,選修,曾惠芸,2,,3,"限學士班三年級以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：3人",,,
7965,62965,植微系,PPM0004,1,服務學習甲,,0,613 001A0,半年,必帶,陳昭瑩,1,,30,"限學號雙號,本校修課人數上限：30人",,,
7966,65752,植微系,PPM0004,2,服務學習甲,,0,613 001A0,半年,必帶,陳穎練,1,,30,"限學號單號,本校修課人數上限：30人",,,
7967,15841,植微系,PPM1003,,服務學習三,,0,613 00330,半年,選修,歐海仁,1,,30,本校修課人數上限：30人,,,
7968,27802,植微系,PPM2005,,植病研究法,,2,613 22400,半年,選修,鍾嘉綾,2,"三3,4(總一館308)",40,本校修課人數上限：40人,與沈偉強合授,,
7969,38887,植微系,PPM3008,,植病研究法實驗,,1,613 30600,半年,選修,鍾嘉綾,2,"五7,8,9(總一館308)",40,本校修課人數上限：40人,與沈偉強合授,,
7970,25110,植微系,PPM3015,,應用微生物學,,3,613 32700,半年,必修,沈湯龍,2,"一2,3,4(總一館308)",50,本校修課人數上限：50人,與曾顯雄、陳穎練合授,,
7971,44220,植微系,PPM3009,,植物病毒學與實驗,,3,613 32800,半年,必帶,張雅君,2,"三6,7,8(總一館308)",40,本校修課人數上限：40人,與洪挺軒合授,,
7972,66574,植微系,PPM4001,,植病防治學,,3,613 40300,半年,必修,鍾嘉綾,2,"二2,3,4(總一館308)",40(含開放臺大系統人數:2),本校修課人數上限：38人,與孫岩章合授,,
7973,50854,昆蟲系,PPM1007,,微生物學,,3,613 49950,半年,必修,林長平,2,"五7,8,9(普202)",50,本校修課人數上限：50人,C群組。101(含)以後入學者：群組選課方式為五選三，至少須修習8學分同一群組課程，始得畢業。,,
7974,50854,植微系,PPM1007,,微生物學,,3,613 49950,半年,必帶,林長平,2,"五7,8,9(普202)",50,本校修課人數上限：50人,,,
7975,50854,園藝系,PPM1007,,微生物學,,3,613 49950,半年,必帶,林長平,2,"五7,8,9(普202)",50,本校修課人數上限：50人,利用群必修。,,
7976,52372,植微系,PPM1008,,微生物學實驗,,1,613 49970,半年,必帶,沈偉強,2,"五2,3,4(總一館308)",40,"限本系所學生(含輔系、雙修生),本校修課人數上限：40人",,,
7977,52372,園藝系,PPM1008,,微生物學實驗,,1,613 49970,半年,必帶,沈偉強,2,"五2,3,4(總一館308)",40,"限本系所學生(含輔系、雙修生),本校修課人數上限：40人",利用群必修。,,
7978,73312,植微系,PPM3016,,遺傳學,,3,613 50000,半年,必帶,陳穎練,2,"五2,3,4(總一館115)",50(含開放臺大系統人數:2),本校修課人數上限：48人,,,
7979,56079,農藝所生統組,Agron8999,,博士論文,,0,621 D0010,半年,必修,,1,,50,本校修課人數上限：50人,,,
7980,56079,農藝所作物組,Agron8999,,博士論文,,0,621 D0010,半年,必修,,1,,50,本校修課人數上限：50人,,,
7981,,農藝所生統組,Agron8001,*,專題研究,,2,621 D0060,半年,選修,,,,50,本校修課人數上限：50人,"班次列於附頁,分班課程查詢",,
7982,,農藝所作物組,Agron8001,*,專題研究,,2,621 D0060,半年,選修,,,,50,本校修課人數上限：50人,"班次列於附頁,分班課程查詢",,
7983,56493,農藝所,Agron8001,2,專題研究,,2,621 D0060,半年,選修,,,,3,"限博士班,本校修課人數上限：3人",,,
7984,73077,農藝所,Agron8001,3,專題研究,,2,621 D0060,半年,選修,,,,3,"限博士班,本校修課人數上限：3人",,,
7985,40811,農藝所,Agron8001,4,專題研究,,2,621 D0060,半年,選修,,,,3,"限博士班,本校修課人數上限：3人",,,
7986,23282,農藝所,Agron8001,5,專題研究,,2,621 D0060,半年,選修,,,,3,"限博士班,本校修課人數上限：3人",,,
7987,39719,農藝所,Agron8001,6,專題研究,,2,621 D0060,半年,選修,,,,3,"限博士班,本校修課人數上限：3人",,,
7988,59288,農藝所,Agron8001,7,專題研究,,2,621 D0060,半年,選修,,,,3,"限博士班,本校修課人數上限：3人",限博士班,,
7989,52740,農藝所,Agron8001,8,專題研究,,2,621 D0060,半年,選修,,,,3,"限博士班,本校修課人數上限：3人",限博士班,,
7990,24372,農藝所,Agron8001,9,專題研究,,2,621 D0060,半年,選修,劉力瑜,1,,3,"限博士班,本校修課人數上限：3人",限博士班,,
7991,88015,農藝所,Agron8001,10,專題研究,,2,621 D0060,半年,選修,,,,3,"限博士班,本校修課人數上限：3人",限博士班,,
7992,68852,農藝所,Agron8001,11,專題研究,,2,621 D0060,半年,選修,林彥蓉,1,,3,"限博士班,本校修課人數上限：3人",限博士班,,
7993,70648,農藝所,Agron8001,12,專題研究,,2,621 D0060,半年,選修,,,,3,"限博士班,本校修課人數上限：3人",限博士班,,
7994,50296,農藝所,Agron8001,13,專題研究,,2,621 D0060,半年,選修,,,,3,"限博士班,本校修課人數上限：3人",,,
7995,66116,農藝所,Agron8001,14,專題研究,,2,621 D0060,半年,選修,,,,3,"限博士班,本校修課人數上限：3人",限博士班,,
7996,30221,農藝所,Agron8001,15,專題研究,,2,621 D0060,半年,選修,,,,3,"限博士班,本校修課人數上限：3人",限博士班,,
7997,36558,農藝所,Agron8001,16,專題研究,,2,621 D0060,半年,選修,,,,3,"限博士班,本校修課人數上限：3人",限博士班,,
7998,51048,農藝所,Agron8001,17,專題研究,,2,621 D0060,半年,選修,,,,3,"限博士班,本校修課人數上限：3人",限博士班,,
7999,61843,農藝所,Agron8001,18,專題研究,,2,621 D0060,半年,選修,,,,3,"限博士班,本校修課人數上限：3人",限博士班,,
8000,20121,農藝所,Agron8001,19,專題研究,,2,621 D0060,半年,選修,,,,3,"限博士班,本校修課人數上限：3人",限博士班,,
8001,74515,醫工系,DBME2012,6,學士專題研究,,1,508 20100,半年,必修,呂東武,2,,10,"限本系所學生(含輔系、雙修生),本校修課人數上限：10人","本課程中文授課,使用英文教科書。上課時間與地點請詢問授課教師。",,
8002,56357,醫工系,DBME2012,7,學士專題研究,,1,508 20100,半年,必修,林啟萬,2,,10,"限本系所學生(含輔系、雙修生),本校修課人數上限：10人","初選不開放。本課程中文授課,使用英文教科書。上課時間與地點請詢問授課教師。",,
8003,56357,醫工系,DBME2012,7,學士專題研究,,1,508 20100,半年,必修,林啟萬,2,,10,"限本系所學生(含輔系、雙修生),本校修課人數上限：10人","初選不開放。本課程中文授課,使用英文教科書。上課時間與地點請詢問授課教師。",,
8004,83677,醫工系,DBME2012,8,學士專題研究,,1,508 20100,半年,必修,趙福杉,2,,10,"限本系所學生(含輔系、雙修生),本校修課人數上限：10人","本課程中文授課,使用英文教科書。上課時間與地點請詢問授課教師。",,
8005,83677,醫工系,DBME2012,8,學士專題研究,,1,508 20100,半年,必修,趙福杉,2,,10,"限本系所學生(含輔系、雙修生),本校修課人數上限：10人","本課程中文授課,使用英文教科書。上課時間與地點請詢問授課教師。",,
8006,18443,醫工系,DBME2012,9,學士專題研究,,1,508 20100,半年,必修,,,,10,"限本系所學生(含輔系、雙修生),本校修課人數上限：10人",上課時間與地點請詢問授課教師。,,
8007,18443,醫工系,DBME2012,9,學士專題研究,,1,508 20100,半年,必修,,,,10,"限本系所學生(含輔系、雙修生),本校修課人數上限：10人",上課時間與地點請詢問授課教師。,,
8008,63746,醫工系,DBME2012,10,學士專題研究,,1,508 20100,半年,必修,,,,10,"限本系所學生(含輔系、雙修生),本校修課人數上限：10人",上課時間與地點請詢問授課教師。,,
8009,63746,醫工系,DBME2012,10,學士專題研究,,1,508 20100,半年,必修,,,,10,"限本系所學生(含輔系、雙修生),本校修課人數上限：10人",上課時間與地點請詢問授課教師。,,
8010,43358,醫工系,DBME2012,11,學士專題研究,,1,508 20100,半年,必修,陳中明,2,,10,"限本系所學生(含輔系、雙修生),本校修課人數上限：10人","本課程中文授課,使用英文教科書。上課時間與地點請詢問授課教師。",,
8011,43358,醫工系,DBME2012,11,學士專題研究,,1,508 20100,半年,必修,陳中明,2,,10,"限本系所學生(含輔系、雙修生),本校修課人數上限：10人","本課程中文授課,使用英文教科書。上課時間與地點請詢問授課教師。",,
8012,11913,醫工系,DBME2012,14,學士專題研究,,1,508 20100,半年,必修,林頌然,2,,10,"限本系所學生(含輔系、雙修生),本校修課人數上限：10人","本課程中文授課,使用英文教科書。上課時間與地點請詢問授課老師。",,
8013,11913,醫工系,DBME2012,14,學士專題研究,,1,508 20100,半年,必修,林頌然,2,,10,"限本系所學生(含輔系、雙修生),本校修課人數上限：10人","本課程中文授課,使用英文教科書。上課時間與地點請詢問授課老師。",,
8014,47070,醫工系,DBME2012,15,學士專題研究,,1,508 20100,半年,必修,趙本秀,2,,10,"限本系所學生(含輔系、雙修生),本校修課人數上限：10人","本課程中文授課,使用英文教科書。上課時間與地點請詢問授課老師。",,
8015,47070,醫工系,DBME2012,15,學士專題研究,,1,508 20100,半年,必修,趙本秀,2,,10,"限本系所學生(含輔系、雙修生),本校修課人數上限：10人","本課程中文授課,使用英文教科書。上課時間與地點請詢問授課老師。",,
8016,33782,醫工系,DBME2012,16,學士專題研究,,1,508 20100,半年,必修,施博仁,2,,10,"限本系所學生(含輔系、雙修生),本校修課人數上限：10人","本課程中文授課,使用英文教科書。上課時間與地點請詢問授課教師。",,
8017,33782,醫工系,DBME2012,16,學士專題研究,,1,508 20100,半年,必修,施博仁,2,,10,"限本系所學生(含輔系、雙修生),本校修課人數上限：10人","本課程中文授課,使用英文教科書。上課時間與地點請詢問授課教師。",,
8018,43858,醫工系,DBME2012,17,學士專題研究,,1,508 20100,半年,必修,梁祥光,2,,10,"限本系所學生(含輔系、雙修生),本校修課人數上限：10人","本課程中文授課,使用英文教科書。上課時間與地點請詢問授課教師。",,
8019,43858,醫工系,DBME2012,17,學士專題研究,,1,508 20100,半年,必修,梁祥光,2,,10,"限本系所學生(含輔系、雙修生),本校修課人數上限：10人","本課程中文授課,使用英文教科書。上課時間與地點請詢問授課教師。",,
8020,30313,醫工系,DBME2005,,工程數學下,,3,508 20102,全年,必帶,黃義侑,2,"三8,9,10(共304)",25,"限本系所學生(含輔系、雙修生),本校修課人數上限：25人","本課程中文授課,使用英文教科書。",,
8021,20559,醫工系,DBME2001,,學士醫學工程專題討論,,1,508 20110,半年,必帶,陳中明,,"二7,8(請洽系所辦)",25,"限學士班三年級 且 限本系所學生(含輔系、雙修生),本校修課人數上限：25人",上課地點：永齡439。與林文澧,,
8022,76310,醫工系,DBME2015,,醫學工程實驗,,3,508 20240,半年,必帶,趙本秀,2,"一7,8,9(請洽系所辦)",30,"限學士班二年級 且 限本系所學生(含輔系、雙修生),本校修課人數上限：30人","本課程中文授課,使用英文教科書。先修課程：普通化學實驗、工程力學、材料力學。上課教室：永齡522室與施博仁、梁祥光合授",,
8023,67831,醫工系,DBME2010,,生物化學,,3,508 21500,半年,必帶,葉伊純,2,"二7,8,9(共407)",25,"限學士班二年級 且 限本系所學生(含輔系、雙修生),本校修課人數上限：25人","本課程中文授課,使用英文教科書。",,
8024,36826,醫工系,DBME2011,,細胞與分子生物學,,3,508 21600,半年,必帶,趙本秀,2,"三2,3,4(請洽系所辦)",30(含開放臺大系統人數:4),"限學士班二年級,本校修課人數上限：26人,外系人數限制：5人","本課程中文授課,使用英文教科書。上課教室：永齡414室",,
8025,19434,醫工系,DBME2014,,材料科學概論,,3,508E21800,半年,必帶,林峯輝,2,"二2,3,4(工綜205)",30,"限學士班二年級 且 限本系所學生(含輔系、雙修生),本校修課人數上限：30人",本課程以英語授課。本課程英文化程度說明,,
8026,42460,醫工系,DBME2017,,數位生醫訊號處理,,3,508 21900,半年,選修,駱遠,2,"五6,7,8(請洽系所辦)",12,"限本系所學生(含輔系、雙修生) 且 限學士班二年級,本校修課人數上限：12人","本課程中文授課,使用英文教科書。上課教室：基醫大樓1222教室",,
8027,14786,醫工系,DBME2018,,生醫質能傳輸原理,,3,508 22000,半年,選修,黃義侑,2,"一2,3,4(小班教室01)",12,"限學士班二年級 且 限本系所學生(含輔系、雙修生),本校修課人數上限：12人","本課程中文授課,使用英文教科書。上課教室：基醫小班B1 01(12)",,
8028,16454,醫工系,DBME2020,,電子學二暨實驗,,3,508 22200,半年,選修,劉浩澧,2,"四7,8,9(博雅307)",20,"限本系所學生(含輔系、雙修生),本校修課人數上限：20人","本課程中文授課,使用英文教科書。先修課程：電路學、電子學一暨實驗。",,
8029,33551,醫工系,DBME2021,,資料結構,,3,508 22300,半年,選修,陳中明,2,"四2,3,4(請洽系所辦)",15,本校修課人數上限：15人,"本課程中文授課,使用英文教科書。上課地點：工綜館323電腦教室。",,
8030,95053,醫工系,DBME3003,,學士醫學工程專題討論,,2,508 30110,半年,必修,陳中明,2,"二7,8(請洽系所辦)",25,"限學士班三年級 且 限本系所學生(含輔系、雙修生),本校修課人數上限：25人","本課程中文授課,使用英文教科書。上課地點：永齡439。與林文澧合授",,
8031,47135,醫工系,DBME3002,,醫療器材創新設計,,3,508 31100,半年,必帶,王兆麟,2,"五7,8,9(博雅406)",20,本校修課人數上限：20人,"本課程中文授課,使用英文教科書。",,
8032,64756,土木所結構組,CIE8999,,博士論文,,0,521 D0010,半年,必修,,1,,100,本校修課人數上限：100人,,,
8033,64756,土木所CAE組,CIE8999,,博士論文,,0,521 D0010,半年,必修,,1,,100,本校修課人數上限：100人,,,
8034,64756,土木所交通組,CIE8999,,博士論文,,0,521 D0010,半年,必修,,1,,100,本校修課人數上限：100人,,,
8035,64756,土木所營管組,CIE8999,,博士論文,,0,521 D0010,半年,必修,,1,,100,本校修課人數上限：100人,,,
8036,64756,土木所大地組,CIE8999,,博士論文,,0,521 D0010,半年,必修,,1,,100,本校修課人數上限：100人,,,
8037,64756,土木所測量組,CIE8999,,博士論文,,0,521 D0010,半年,必修,,1,,100,本校修課人數上限：100人,,,
8038,64756,土木所水利組,CIE8999,,博士論文,,0,521 D0010,半年,必修,,1,,100,本校修課人數上限：100人,,,
8039,89518,土木所交通組,CIE8017,,運輸經濟特論,,3,521 D3440,半年,選修,張學孔,2,"三A,B,C(土224)",20,本校修課人數上限：20人,選修對象：土木所交通組-碩士班博士班,,
8040,28378,土木所水利組,CIE8019,,重力水波學,,3,521 D3950,半年,選修,詹益齊,2,"二3,4,5(土研405)",30,"限本系所學生(含輔系、雙修生),本校修課人數上限：30人",,,
8041,13494,土木所結構組,CIE7999,,碩士論文,,0,521 M0010,半年,必修,,1,,300,本校修課人數上限：300人,,,
8042,13494,土木所測量組,CIE7999,,碩士論文,,0,521 M0010,半年,必修,,1,,300,本校修課人數上限：300人,,,
8043,13494,土木所CAE組,CIE7999,,碩士論文,,0,521 M0010,半年,必修,,1,,300,本校修課人數上限：300人,,,
8044,13494,土木所交通組,CIE7999,,碩士論文,,0,521 M0010,半年,必修,,1,,300,本校修課人數上限：300人,,,
8045,13494,土木所大地組,CIE7999,,碩士論文,,0,521 M0010,半年,必修,,1,,300,本校修課人數上限：300人,,,
8046,13494,土木所營管組,CIE7999,,碩士論文,,0,521 M0010,半年,必修,,1,,300,本校修課人數上限：300人,,,
8047,13494,土木所水利組,CIE7999,,碩士論文,,0,521 M0010,半年,必修,,1,,300,本校修課人數上限：300人,,,
8048,43599,土木所水利組,CIE7001,,水利工程專題討論,,1,521 M0040,半年,必修,何昊哲,1,"三7,8,9(土220)",100,本校修課人數上限：100人,與李鴻源、林國峰、劉格非、李天浩、卡艾瑋、蔡宛珊、游景雲、詹益齊、施上粟合授,,
8049,89779,土木所大地組,CIE7003,,大地工程專題討論,,2,521EM0180,半年,必修,卿建業,3,"五7,8,9(土220)",70,"限碩士班以上,本校修課人數上限：70人",本課程以英語授課。本課程英文化程度說明,,
8050,13688,土木所交通組,CIE7009,,運輸工程專題討論,,1,521 M0320,半年,必修,許聿廷,1,"一7,8,9(土220)",70,本校修課人數上限：70人,與張學孔、周家蓓、許添本、賴勇成、陳柏華、朱致遠合授,,
8051,37080,土木所,CIE7206,,人工智慧工程應用專題討論,,1,521 M0330,半年,選修,陳俊杉,2,"二A,B,C(土研401)",10,本校修課人數上限：10人,初選不開放。提供給人工智慧工程應用的博士班學生修習。與韓仁毓、陳柏華、張書瑋、張家銘合授,,
8052,15383,土木所交通組,CIE7010,,交通安全設計與分析,,3,521 M1030,半年,選修,許添本,2,"三7,8,9(土320)",30,"限本系所學生(含輔系、雙修生),本校修課人數上限：30人",,,
8053,58176,土木所結構組,CIE7015,,塑性力學,,3,521 M1160,半年,選修,洪宏基,2,"五2,3,4(土研405)",34,本校修課人數上限：34人,,,
8054,60444,奈米科技學程,CIE7017,,有限元素法,,3,521EM1210,半年,選修,吳東諭,2,"二2,3,4(新302)",80,"限碩士班以上,本校修課人數上限：80人",本課程以英語授課。本課程英文化程度說明,,
8055,60444,土木所CAE組,CIE7017,,有限元素法,,3,521EM1210,半年,選修,吳東諭,2,"二2,3,4(新302)",80,"限碩士班以上,本校修課人數上限：80人",本課程以英語授課。本課程英文化程度說明,,
8056,60444,土木所結構組,CIE7017,,有限元素法,,3,521EM1210,半年,選修,吳東諭,2,"二2,3,4(新302)",80,"限碩士班以上,本校修課人數上限：80人",本課程以英語授課。本課程英文化程度說明,,
8057,60444,,CIE7017,,有限元素法,,3,521EM1210,半年,選修,吳東諭,2,"二2,3,4(新302)",80,"限碩士班以上,本校修課人數上限：80人",本課程以英語授課。本課程英文化程度說明,,
8058,88304,土木所大地組,CIE7030,,大地地震工程,,3,521EM2210,半年,選修,郭安妮,2,"二7,8,9(新404)",40(含開放臺大系統人數:4),"限本系所學生(含輔系、雙修生),本校修課人數上限：36人",本課程以英語授課。本課程英文化程度說明,,
8059,54460,風電學程,CIE7208,,基礎設計與分析,,3,521EM3700,半年,選修,邱俊翔,2,"一2,3,4(土224)",30,本校修課人數上限：30人,本課程以英語授課。先修基礎課程：土壤力學、基礎工程、材料力學本課程英文化程度說明,,
8060,54460,土木所大地組,CIE7208,,基礎設計與分析,,3,521EM3700,半年,選修,邱俊翔,2,"一2,3,4(土224)",30,本校修課人數上限：30人,本課程以英語授課。先修基礎課程：土壤力學、基礎工程、材料力學本課程英文化程度說明,,
8061,77553,土木所CAE組,CIE7192,,BIM導入實務與演練,,3,521EM5160,半年,選修,謝尚賢,2,"一2,3,4(土320)",30,"限本系所學生(含輔系、雙修生),本校修課人數上限：30人",初選不開放。本課程以英語授課。本課程英文化程度說明,,
8062,31078,土木所水利組,CIE7199,,序率泥砂運動學,,3,521EM5230,半年,選修,蔡宛珊,2,"二10,A,B(土研402)",20,本校修課人數上限：20人,本課程以英語授課。本課程英文化程度說明,,
8063,35421,土木所交通組,CIE7204,,運輸工程特論,,3,521 M5280,半年,選修,朱致遠,2,"三7,8,9(土224)",15,"限碩士班以上,本校修課人數上限：15人",初選不開放。,,
8064,47410,土木所水利組,CIE7211,,管路水力設計,,3,521 M5450,半年,選修,許勝田,2,"四6,7,8(土研405)",30,"限本系所學生(含輔系、雙修生),本校修課人數上限：30人",,,
8065,70101,土木所交通組,CIE7053,,車流理論與應用,,3,521 M5810,半年,選修,許添本,2,"二7,8,9(土224)",30,本校修課人數上限：30人,,,
8066,71471,土木所營管組,CIE7054,,營建財務,,3,521 M5900,半年,選修,曾惠斌,3,"三7,8,9(土研407)",34,"限本系所學生(含輔系、雙修生),本校修課人數上限：34人",,,
8067,48223,土木所水利組,CIE7057,,非線性動力學概論,,3,521 M5930,半年,選修,劉格非,2,"二7,8,9(普504)",30(含開放臺大系統人數:10),"限本系所學生(含輔系、雙修生),本校修課人數上限：20人",,,
8068,81335,土木所營管組,CIE7059,,營建管理專題討論,,1,521 M5950,半年,必修,荷世平,1,"三A,B,C(土研402)",60,"限碩士班以上,本校修課人數上限：60人",與曾惠斌、陳柏翰、詹瀅潔、林偲妘、林之謙合授,,
8069,73120,土木所水利組,CIE7060,,水資源規劃,,3,521 M5960,半年,選修,李鴻源,2,"三2,3,4(土320)",20,本校修課人數上限：20人,,,
8070,83960,土木所營管組,CIE7066,,工程風險管理,,3,521 M6100,半年,選修,林偲妘,2,"一7,8,9(土研407)",35,"限本系所學生(含輔系、雙修生),本校修課人數上限：35人",,,
8071,35865,土木所結構組,CIE7071,,結構力學專題討論,,1,521EM6200,半年,必修,洪宏基,1,"四7,8,9(土220)",120,"限碩士班以上,本校修課人數上限：120人",本課程以英語授課。與張國鎮、黃世建合授本課程英文化程度說明,,
8072,35077,土木所CAE組,CIE7074,,電腦輔助工程專題討論,,1,521 M6230,半年,必修,汪立本,1,"二7,8,9(土研402)",50,本校修課人數上限：50人,與謝尚賢、陳俊杉、康仕仲、謝依芸合授,,
8073,88190,土木所營管組,CIE7081,,營建管理專案研究,,3,521 M6300,半年,必修,荷世平,3,,40,"限本系所學生(含輔系、雙修生),本校修課人數上限：40人",與曾惠斌、陳柏翰、詹瀅潔、林偲妘、林之謙合授,,
8074,87422,土木所測量組,CIE7093,,測量專題討論,,1,521 M6430,半年,必修,韓仁毓,1,"五2,3,4(土224)",30,"限碩士班以上,本校修課人數上限：30人",,,
8075,80954,土木所結構組,CIE7098,,結構控制一,,3,521EM6480,半年,選修,張國鎮,3,"三7,8,9(土研402)",35,"限碩士班以上,本校修課人數上限：35人",本課程以英語授課。本課程以英語授課。先修科目：材力、結構學、結構動力學。本課程英文化程度說明,,
8076,86234,土木所營管組,CIE7186,,跨領域聯合專題討論,,1,521 M6590,半年,必修,曾惠斌,2,"三A,B,C(請洽系所辦)",200,"限碩士在職專班生,本校修課人數上限：200人",上課時間：19：00-21：00。上課教室:請洽系所辦。,,
8077,23518,土木所CAE組,CIE7110,,學術英文寫作,,3,521 M6630,半年,選修,邱崇賢,2,"三2,3,4(博雅206)",15,"限碩士班以上,本校修課人數上限：15人",初選不開放。先修:英文寫作基礎.限CAE組博碩士生優先選修.若有名額才開放本系研究所學生選修,,
8078,78306,土木所營管組,CIE7113,,工程契約與規範,,2,521 M7000,半年,選修,曾大仁,3,"六3,4(土研401)",34,"限碩士在職專班生,本校修課人數上限：34人",,,
8079,52445,土木所營管組,CIE7121,,營建財務與應用,,2,521 M7080,半年,選修,曾惠斌,3,"一B,C(土研401)",34,"限碩士在職專班生,本校修課人數上限：34人",上課時間：19：30,,
8080,80190,土木所結構組,CIE7131,,鋼結構耐震設計,,3,521EM7180,半年,選修,蔡克銓,2,"一7,8,9(土研401)",34(含開放臺大系統人數:10),"限碩士班以上,本校修課人數上限：24人",本課程以英語授課。本課程英文化程度說明,,
8081,72574,土木所營管組,CIE7135,,計量研究與應用,,2,521 M7230,半年,選修,荷世平,3,"二B,C(土研407)",34,"限碩士在職專班生,本校修課人數上限：34人",,,
8082,70991,土木所測量組,CIE7140,,衛星大地測量學,,3,521 M7280,半年,選修,韓仁毓,2,"二6,7,8(綜202)",20,本校修課人數上限：20人,,,
8083,46840,土木所結構組,CIE7143,,智慧型結構系統,,3,521 M7310,半年,選修,張家銘,2,"二7,8,9(土研401)",34,本校修課人數上限：34人,,,
8084,89471,土木所測量組,CIE7144,,衛星大地測量學特論,,3,521EM7320,半年,選修,韓仁毓,2,"二2,3,4(綜202)",20,本校修課人數上限：20人,本課程以英語授課。本課程英文化程度說明,,
8085,56126,土木所營管組,CIE7149,,新興科技與土木工程,,2,521 M7370,半年,選修,謝尚賢,2,"四B,C(土研401)",34,"限碩士在職專班生,本校修課人數上限：34人",,,
8086,12982,土木所交通組,CIE7151,,運輸系統的創新管理,,3,521 M7400,半年,選修,王弓,3,"一A,B,C(土224)",30,本校修課人數上限：30人,,,
8087,58959,土木所營管組,CIE7163,,營建業國際化與策略理論,,3,521 M7520,半年,選修,荷世平,3,"二6,7,8(新504)",34,本校修課人數上限：34人,,,
8088,53677,土木所水利組,CIE7181,,土木工程物理模型設計實作,,3,521 M7630,半年,選修,何昊哲,2,"五2,3,4(土研401)",30,"限本系所學生(含輔系、雙修生),本校修課人數上限：30人",,,
8089,81604,土木所營管組,CIE7184,,物業管理實務,,2,521 M7660,半年,選修,黃世孟,3,"五B,C(土研402)",30,"限碩士在職專班生,本校修課人數上限：30人",,,
8090,59301,土木所大地組,CIE5004,,大地工程之數值分析法,,3,521 U0070,半年,選修,王泰典,2,"五2,3,4(新301)",40,"限本系所學生(含輔系、雙修生),本校修課人數上限：40人",,,
8091,75256,土木所水利組,CIE5011,,明渠水力學,,3,521 U0570,半年,必修,林國峰,2,"一7,8,9(土320)",30(含開放臺大系統人數:6),"限本系所學生(含輔系、雙修生),本校修課人數上限：24人",,,
8092,66803,土木所大地組,CIE5034,,岩石力學,,3,521EU3270,半年,選修,鄭富書,1,"二2,3,4(土320)",40(含開放臺大系統人數:10),"限本系所學生(含輔系、雙修生),本校修課人數上限：30人","本課程以英語授課。修過""土壤力學""尤佳本課程英文化程度說明",,
8093,50455,土木所水利組,CIE5065,,高科技廠房設施設計,,3,521 U3790,半年,選修,莊子壽,2,"四A,B,C(土研402)",30(含開放臺大系統人數:10),"限學士班三年級以上,本校修課人數上限：20人","本課程中文授課,使用英文教科書。與張陸滿、林之謙合授",,
8094,50455,土木所營管組,CIE5065,,高科技廠房設施設計,,3,521 U3790,半年,選修,莊子壽,2,"四A,B,C(土研402)",30(含開放臺大系統人數:10),"限學士班三年級以上,本校修課人數上限：20人","本課程中文授課,使用英文教科書。與張陸滿、林之謙合授",,
8095,50455,土木所CAE組,CIE5065,,高科技廠房設施設計,,3,521 U3790,半年,選修,莊子壽,2,"四A,B,C(土研402)",30(含開放臺大系統人數:10),"限學士班三年級以上,本校修課人數上限：20人","本課程中文授課,使用英文教科書。與張陸滿、林之謙合授",,
8096,50455,土木所結構組,CIE5065,,高科技廠房設施設計,,3,521 U3790,半年,選修,莊子壽,2,"四A,B,C(土研402)",30(含開放臺大系統人數:10),"限學士班三年級以上,本校修課人數上限：20人","本課程中文授課,使用英文教科書。與張陸滿、林之謙合授",,
8097,50455,土木所營管組,CIE5065,,高科技廠房設施設計,,3,521 U3790,半年,選修,莊子壽,2,"四A,B,C(土研402)",30(含開放臺大系統人數:10),"限學士班三年級以上,本校修課人數上限：20人","本課程中文授課,使用英文教科書。與張陸滿、林之謙合授",,
8098,50455,土木系,CIE5065,,高科技廠房設施設計,,3,521 U3790,半年,選修,莊子壽,2,"四A,B,C(土研402)",30(含開放臺大系統人數:10),"限學士班三年級以上,本校修課人數上限：20人","本課程中文授課,使用英文教科書。與張陸滿、林之謙合授",,
8099,12396,土木系,CIE5087,,測量及空間資訊概論,,3,521 U3830,半年,必修,韓仁毓,2,"四7,8,9(土224)",60,"限本系所學生(含輔系、雙修生),本校修課人數上限：60人",土木學群及防災學群選修科目之一與李洢杰合授,,
8100,12396,土木所測量組,CIE5087,,測量及空間資訊概論,,3,521 U3830,半年,選修,韓仁毓,2,"四7,8,9(土224)",60,"限本系所學生(含輔系、雙修生),本校修課人數上限：60人",本系土木學群、天然災害防治學群選修科目之一。與李洢杰合授,,
